sample,rmse,initial guess,final install positions,time elapsed
52,15.45,"[array([ 15,  19, -19,  12]), array([690, 530, 550, 660]), array([0.25, 0.15, 0.15, 0.25])]","[array([ 7., 15.,  0.,  0.]), array([200., 470., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",23.69
53,8.56,"[array([ -1,  15, -15,  -5]), array([590, 430, 290, 450]), array([0.25, 0.15, 0.15, 0.25])]","[array([11., 10.,  0.,  0.]), array([200., 380., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",25.11
54,30.69,"[array([  4, -12,   1,   3]), array([410, 560, 570, 280]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([500., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",21.05
55,21.6,"[array([ -8,  -7, -13,   7]), array([630, 770, 500, 320]), array([0.25, 0.25, 0.25, 0.25])]","[array([15.,  0.,  0.,  0.]), array([600., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",26.71
56,20.87,"[array([-2, -7, 10, 10]), array([780, 680, 400, 800]), array([0.15, 0.15, 0.15, 0.15])]","[array([7., 0., 0., 6.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",18.64
57,64.79,"[array([ -9,   5, -19,   3]), array([340, 280, 610, 400]), array([0.15, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",14.18
58,20.25,"[array([  6,   3,   3, -15]), array([280, 660, 770, 400]), array([0.25, 0.15, 0.25, 0.15])]","[array([12.,  7., 10.,  0.]), array([480., 290., 320., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.12
59,17.18,"[array([-19,   5, -11,  19]), array([320, 700, 690, 640]), array([0.25, 0.15, 0.15, 0.15])]","[array([10.,  0.,  0.,  6.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.59
60,18.22,"[array([ 4, -5, 15, 10]), array([580, 520, 250, 700]), array([0.15, 0.25, 0.15, 0.25])]","[array([ 0.,  0.,  0., 10.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]",9.0
61,18.48,"[array([10, -1,  6, -9]), array([300, 680, 670, 790]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  2.,  0.]), array([390., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.45
