Wall time,Step,Value
1618557426.9898345,8836,-0.5370845794677734
1618557427.40789,8895,-0.5073729157447815
1618557427.501462,8911,-0.5263113975524902
1618557427.822449,8956,-0.5127320885658264
1618557428.2020915,9011,-0.5126941204071045
1618557428.961959,9119,-0.49293822050094604
1618557429.6227083,9212,-0.5012433528900146
1618557429.8956966,9251,-0.5307316184043884
1618557431.5967948,9483,-0.4427455961704254
1618557432.2801774,9581,-0.414789617061615
1618557432.7144983,9641,-0.39098691940307617
1618557433.3694668,9730,-0.3306525945663452
1618557433.611782,9765,-0.3140448331832886
1618557433.9071496,9807,-0.35250821709632874
1618557434.0960257,9837,-0.38316071033477783
1618557434.6933455,9919,-0.3781816363334656
1618557434.8629487,9946,-0.3712276518344879
