s_num,s_c,s_l,e_l,tri_num,i_pos,rmse
2,320.392570058957,0.19535909158164652,4.1638209127213175,3,"[0.08401899998027196, 0.1486977565077996]",0.11725825941025214
2,432.21359982831996,0.23933292718233135,2.8728680525075987,1,"[0.27063128981252693, 0.12439966297919369]",0.35769216511358126
2,235.5303049245553,0.3832175561803757,2.293685598189378,3,"[0.07118498305329712, 0.2204363076940382]",0.15636063956462473
2,262.4152962180053,0.2024341339968342,1.3658391736012665,1,"[0.26596426468408196, 0.16657533317328166]",0.10857872818339426
2,495.3483981638391,0.21072179522873644,6.0894274523891365,2,"[0.19450996864563241, 0.10057058278457132]",0.35308178832261455
2,288.96289534260984,0.2309847171123316,8.920565008088825,2,"[0.3955291242972242, 0.24928466275504035]",0.6732497118566353
2,166.34728776253513,0.20030075174604753,5.103555904019064,4,"[0.13770495674754446, 0.23214521974554392]",0.30425714138432863
2,285.274251053809,0.1748611763507972,1.3433658228501788,5,"[0.03066380651878131, 0.05620073831465805]",0.09895583740563908
2,494.9535730409364,0.1580347107520813,5.276634439123976,2,"[0.14120087497538414, 0.11301345242310945]",0.5354054162511631
2,361.4771468591322,0.3972218872099014,4.455806554459199,5,"[0.16535902583734385, 0.02373986963628205]",0.13747891697828857
2,487.4063073207164,0.29974549862868016,8.40214707411804,2,"[0.11898292902189733, 0.29082877807108287]",0.5198842697174691
2,264.8508241372512,0.3263082908863769,6.834173655005435,4,"[0.11242148851088307, 0.2440072046217573]",0.4866356891890315
2,198.50656404216943,0.3182734711830779,5.871056763603403,6,"[0.20688728778914223, 0.07942107768250484]",0.154163952797011
2,207.52768475640295,0.2130096804783248,4.826701811285287,2,"[0.34144062505690354, 0.21225307451070063]",0.19902826871824397
2,359.3424887403552,0.2992299459886202,7.145543637639248,3,"[0.10697665413133428, 0.23795515425416325]",0.26396631645882046
2,225.65187457689416,0.3722810257335183,5.472669536145464,5,"[0.22867322847193572, 0.08365040586216865]",0.18593616689540338
2,155.61997492858086,0.1777026831118553,5.066322017753153,6,"[0.0978125595099325, 0.16523820009686396]",0.07853636739006978
2,424.96524180865384,0.164892058622576,5.988691954430654,2,"[0.19464357160273082, 0.11839994197825232]",0.5607018100404304
