s_num,s_c,s_l,e_l,s_pos,rmse
5,"[479.77769981524375, 283.9658724082064, 473.074533112772, 298.38453732958317, 381.1844582092157, nan]","[0.18585865111242023, 0.3594146692051424, 0.2770535322236851, 0.3817334109763424, 0.18188538801437654, nan]",0.3122296405572844,"[0.36, -0.17, 0.03, -0.16, 0.06, nan]",0.5949269740233306
2,"[393.1694773940997, 458.764301562896, nan, nan, nan, nan]","[0.23822857625136898, 0.3581505960580603, nan, nan, nan, nan]",0.1751538747904013,"[0.34, 0.33, nan, nan, nan, nan]",1.5043976939578048
6,"[175.93222629671334, 370.3929083788071, 298.96387539731745, 436.3331301162922, 210.38218625903892, 256.05548965116174]","[0.3227133332584026, 0.3203976362793748, 0.15268306277433769, 0.38718842403867654, 0.3537639094476037, 0.21780967193718698]",0.1746940726962709,"[-0.13, -0.01, 0.35000000000000003, 0.01, -0.12, 0.29]",0.6047765794876007
2,"[413.2174338217248, 451.89619784396837, nan, nan, nan, nan]","[0.3339963976486079, 0.19222927761944933, nan, nan, nan, nan]",1.3596463948487414,"[0.37, 0.4, nan, nan, nan, nan]",1.339860281250465
6,"[354.14314660366074, 231.29076404193162, 184.79296557699925, 422.52894799614114, 446.9430846760373, 497.27165208580146]","[0.2575001988670299, 0.1525724692511481, 0.23227073114149485, 0.3821085725518113, 0.3872140028754947, 0.18624762449750745]",0.3372309687385122,"[0.0, 0.12, 0.18, -0.12, -0.02, 0.31]",0.8074020152737439
4,"[413.95299968089375, 286.254634550026, 426.15452478399715, 220.21168424597644, nan, nan]","[0.15417535705658972, 0.17007386891973678, 0.31754100490952375, 0.38470666183400304, nan, nan]",2.101800196806588,"[0.38, 0.39, -0.19, 0.4, nan, nan]",1.168291868588302
5,"[406.4945618131284, 430.15617191896, 192.7389978493983, 495.5537841631126, 460.67144369478285, nan]","[0.34650743326001915, 0.29642955114971203, 0.34120717321470556, 0.21702330890401142, 0.1797127490872996, nan]",3.875072657309808,"[-0.15, 0.39, 0.0, 0.4, 0.37, nan]",1.9178458715919384
5,"[249.69399175005418, 329.20193919858104, 458.8396335684373, 382.17250676496167, 197.6596614792051, nan]","[0.27792927477866414, 0.36196026432610984, 0.277475063977481, 0.2971126839230462, 0.18016649540063254, nan]",2.326931391189241,"[0.4, -0.2, 0.4, 0.27, 0.39, nan]",1.9897910308903213
4,"[436.60729702861715, 420.8126349830277, 358.68559168977737, 213.5312687004958, nan, nan]","[0.21553228253810866, 0.3966621817619215, 0.20458741078624823, 0.38420237206907915, nan, nan]",0.9418649319490902,"[0.36, -0.16, 0.3, 0.16, nan, nan]",0.9710027162606416
5,"[242.2662405396783, 154.75953966546808, 237.81898462511907, 420.8342378846401, 205.42349023039174, nan]","[0.3046917963423964, 0.1604974646425103, 0.19712245061126216, 0.3776678549969112, 0.2899235207837959, nan]",1.5740439920118563,"[-0.15, 0.38, 0.38, 0.4, 0.37, nan]",1.7148835343646802
4,"[206.16431726334037, 438.0441528086281, 477.84566130429783, 468.85884993936213, nan, nan]","[0.38322731322087766, 0.3188440123372446, 0.15863558140492703, 0.2689497888284226, nan, nan]",0.2485141891377162,"[0.16, -0.25, 0.35000000000000003, -0.11, nan, nan]",0.4479355926909774
3,"[205.2370082597593, 441.6095038841723, 332.76698270343104, nan, nan, nan]","[0.2342615542230403, 0.1883228583736651, 0.18740566403713244, nan, nan, nan]",1.11125046305094,"[0.01, 0.39, 0.26, nan, nan, nan]",0.8252337950346059
6,"[403.06930540182196, 325.4076302785509, 421.647701209995, 402.7836313120997, 327.3934501986386, 331.72288040691933]","[0.15151086561194008, 0.2812701674657402, 0.2915993907022768, 0.21587514417321302, 0.279316276853524, 0.1575437677900541]",2.382882761123457,"[0.38, -0.17, -0.11, 0.24, -0.11, 0.33]",1.1069885771408483
3,"[389.23488484135703, 432.3822547206054, 265.1455202984648, nan, nan, nan]","[0.3086254336377838, 0.2448580450610456, 0.34584585214408003, nan, nan, nan]",1.4848885203010298,"[0.36, 0.37, 0.39, nan, nan, nan]",1.8825021745977264
6,"[226.77201555532343, 163.4482922206669, 208.42684742461762, 484.9496274707265, 161.91113114579164, 182.47336366131344]","[0.16783540982087716, 0.2095005472098639, 0.3673671332212074, 0.3385490807321323, 0.30491791563103987, 0.17757644795932925]",1.3116446968203488,"[0.36, 0.35000000000000003, -0.04, 0.38, 0.0, 0.17]",1.5220518992772285
6,"[393.4683444697999, 307.30719865461805, 334.31115257085276, 183.31261138689496, 256.58130970739353, 448.99378348680665]","[0.36892089163545183, 0.37368525808028646, 0.19868148947074146, 0.39963345078963786, 0.16964118714711837, 0.18004008996410995]",0.1767076564640202,"[-0.08, -0.15, 0.1, -0.1, -0.03, 0.35000000000000003]",0.6340818363531208
4,"[301.553917381519, 487.59374802329444, 367.7370488242772, 293.4095537881302, nan, nan]","[0.32211455750868867, 0.20150077457381635, 0.19793805452484114, 0.34414276599172233, nan, nan]",0.5412605951656824,"[0.06, 0.35000000000000003, 0.17, -0.04, nan, nan]",0.8625966268776027
6,"[390.29790656723037, 418.1744694596793, 395.1930392407703, 254.81358725352442, 188.8775001947758, 313.7948410949237]","[0.19471779116899926, 0.31572126832332903, 0.294406066263045, 0.18333598155249065, 0.2746439576563975, 0.3782787932691269]",1.7484089568002903,"[0.36, -0.14, 0.31, 0.37, 0.02, 0.12]",1.3843181579759296
6,"[303.07342848914357, 289.1510039040727, 276.8849249281826, 377.3154806887253, 286.70955566479495, 343.7138183677123]","[0.35408534864836655, 0.21429631858570491, 0.38637905943547235, 0.20535974614485375, 0.24329125245741576, 0.27970233106538106]",2.880060870521881,"[-0.09, 0.39, -0.24, 0.36, 0.29, 0.4]",1.7782472485561085
5,"[167.1114191953913, 360.9096318006623, 274.43094606118484, 331.7084951348067, 482.5380430972503, nan]","[0.2761537224156664, 0.19138968934245745, 0.2358889332309172, 0.3804850992367512, 0.22300410416517383, nan]",0.7223624920192484,"[-0.16, 0.21, 0.0, 0.1, 0.37, nan]",0.9792669894368524
4,"[161.3055779407564, 323.69836522192577, 310.93838484212654, 427.07107739079817, nan, nan]","[0.28013941536070236, 0.39535629804570926, 0.23733493557845547, 0.16582266032871762, nan, nan]",0.8736645550498356,"[0.02, -0.35000000000000003, 0.26, 0.38, nan, nan]",0.8221051987665944
5,"[483.7428520248183, 362.46969734557234, 491.70817486538107, 494.2447804310759, 266.52541621516247, nan]","[0.3069735367805042, 0.3766455355736719, 0.2950897050360464, 0.2440980281897617, 0.25220377414534945, nan]",0.5341070513268142,"[-0.01, -0.12, -0.07, 0.39, 0.23, nan]",1.056551080490388
6,"[489.0479899297742, 289.6391072934305, 465.79910793020883, 194.62157144441323, 203.1585847542279, 345.6805481217589]","[0.1770024233585752, 0.21967850103551892, 0.26332231115353466, 0.35471880154268176, 0.2952568416782977, 0.3515012305897557]",0.5707782093211511,"[0.4, 0.0, -0.05, -0.16, -0.17, -0.18]",0.5151591959062354
4,"[474.2652458834935, 231.06131570961244, 311.96417922667285, 174.5963065524227, nan, nan]","[0.20057343456825355, 0.20401908199277505, 0.2525357843470809, 0.21803120175459112, nan, nan]",2.416367738948062,"[0.34, 0.37, 0.38, 0.24, nan, nan]",1.4965943046881027
6,"[202.79891922370902, 247.98324536354693, 178.37386722292268, 498.5756810471523, 423.9800468187969, 255.96602656879537]","[0.23255644870118636, 0.2719682904335259, 0.21482081243518336, 0.1743692654731075, 0.22274513866142198, 0.18313009222428356]",1.6759625808373924,"[0.0, -0.09, 0.03, 0.37, 0.0, 0.4]",0.803904696723459
6,"[242.15429632091883, 352.89639794679965, 374.1928088272314, 499.27214238827406, 416.0767265199397, 486.78219945433494]","[0.1577033225474088, 0.22575569241189755, 0.24867779843602514, 0.1744670658614215, 0.3839401402713949, 0.22292882820930973]",2.0492005218736766,"[0.15, 0.34, -0.07, 0.37, 0.03, 0.02]",1.2211669118044362
6,"[381.2569032123138, 237.87764853558593, 482.20767033295135, 173.8450328381272, 254.49446581922118, 362.6427354885675]","[0.3559748613015804, 0.1667263676053668, 0.18698271930626692, 0.2438579097639031, 0.18583634310122302, 0.31159952290796655]",1.0915440888452677,"[0.03, 0.39, 0.33, 0.0, -0.03, 0.07]",0.776029072296323
5,"[329.8148057722277, 305.62292740785017, 352.2401010828153, 479.85655001627754, 287.95921012394575, nan]","[0.24563127600345952, 0.34487116293198083, 0.30627250546056567, 0.2702251799570206, 0.15357190127926132, nan]",0.7333509683861383,"[0.35000000000000003, 0.1, -0.2, -0.06, 0.4, nan]",0.8091690661965245
