sample,rmse,initial guess,final install positions
67,54.56,"[-13, -13,  -6, -12], [550, 470, 650, 270], [0.15, 0.25, 0.15, 0.25]]","[19.,  0.,  0.,  0.], [710., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
68,17.78,"[ 7, -1, 18, -1], [430, 630, 770, 390], [0.25, 0.15, 0.25, 0.25]]","[ 3.,  0., 10.,  0.], [200., 200., 230., 200.], [0.25, 0.25, 0.25, 0.25]]"
69,137.17,"[ 16,  -5, -16, -14], [730, 710, 790, 450], [0.25, 0.25, 0.15, 0.15]]","[19., 17.,  0.,  0.], [800., 570., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
70,21.73,"[-13,   1,  12,   9], [360, 390, 320, 560], [0.25, 0.15, 0.25, 0.25]]","[2., 0., 8., 0.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
71,35.32,"[-15,  12,   4, -12], [220, 220, 360, 710], [0.15, 0.15, 0.25, 0.25]]","[19.,  0., 11.,  0.], [460., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
72,19.63,"[-12,  -2,  13,   5], [680, 470, 490, 770], [0.25, 0.15, 0.15, 0.15]]","[8., 0., 2., 6.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
73,11.24,"[  9,   6, -11,  18], [400, 480, 260, 500], [0.15, 0.15, 0.15, 0.15]]","[14.,  0.,  0.,  5.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
74,14.19,"[-11,   2,   5,  -9], [750, 770, 520, 510], [0.15, 0.25, 0.15, 0.15]]","[19.,  0.,  6.,  0.], [330., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
75,12.52,"[-19, -14,  19,  16], [790, 560, 220, 450], [0.15, 0.25, 0.25, 0.25]]","[ 0.,  0.,  0., 13.], [200., 200., 200., 230.], [0.25, 0.25, 0.25, 0.25]]"
76,9.21,"[-2,  5, -8, -2], [680, 520, 470, 730], [0.25, 0.15, 0.15, 0.25]]","[19.,  0.,  0.,  0.], [310., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
77,19.23,"[-17,  13,  15,   5], [460, 750, 670, 450], [0.15, 0.25, 0.25, 0.25]]","[ 0.,  0., 10.,  0.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
78,52.35,"[-15,  -6,   3, -16], [300, 600, 470, 500], [0.25, 0.25, 0.15, 0.15]]","[19.,  0.,  1.,  0.], [690., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
79,6.78,"[-15,  11,  -7,  17], [590, 620, 740, 290], [0.15, 0.15, 0.25, 0.25]]","[ 0.,  4.,  0., 16.], [200., 200., 200., 220.], [0.25, 0.25, 0.25, 0.25]]"
80,7.23,"[12, -2, 18, -9], [240, 650, 270, 340], [0.25, 0.25, 0.25, 0.25]]","[14.,  0., 16.,  0.], [200., 200., 210., 200.], [0.25, 0.25, 0.25, 0.25]]"
81,12.57,"[ -5,  -3, -14,   8], [420, 320, 310, 460], [0.15, 0.15, 0.15, 0.25]]","[19.,  0.,  0.,  0.], [340., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
82,7.5,"[ -8, -11,  -2,  13], [660, 450, 780, 370], [0.25, 0.25, 0.15, 0.25]]","[14.,  0.,  0.,  8.], [230., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
83,30.69,"[-13, -16,   3,  11], [300, 760, 660, 790], [0.25, 0.25, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [500., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
84,34.99,"[ 10,  -8,   3, -11], [660, 370, 210, 770], [0.25, 0.25, 0.15, 0.25]]","[16.,  0.,  8.,  0.], [640., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
85,29.44,"[ 11,  -1,  17, -13], [290, 580, 520, 520], [0.25, 0.15, 0.25, 0.25]]","[ 9.,  0., 18.,  0.], [200., 200., 470., 200.], [0.25, 0.25, 0.25, 0.25]]"
86,43.19,"[ 10,   4, -14,   7], [590, 220, 780, 700], [0.15, 0.25, 0.25, 0.15]]","[19.,  0.,  0.,  0.], [610., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
87,7.93,"[-2,  0,  7, -9], [730, 730, 520, 710], [0.25, 0.15, 0.15, 0.25]]","[12.,  0., 11.,  0.], [360., 200., 230., 200.], [0.25, 0.25, 0.25, 0.25]]"
88,82.3,"[-19, -15, -12,  -7], [760, 800, 690, 600], [0.25, 0.15, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
89,25.75,"[  9,  12,  13, -15], [270, 520, 280, 540], [0.25, 0.15, 0.15, 0.15]]","[ 5., 15., 11.,  0.], [200., 420., 350., 200.], [0.25, 0.25, 0.25, 0.25]]"
