number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
13.85,"[array([-4,  3,  1,  9]), array([310, 220, 230, 430]), array([0.25, 0.15, 0.25, 0.15])]","[array([11.,  0.,  0.,  8.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
82.54,"[array([-17,   1, -19,   5]), array([220, 450, 640, 710]), array([0.15, 0.15, 0.15, 0.15])]","[array([19.,  2.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
40.27,"[array([ -1,  -8,  12, -19]), array([250, 590, 220, 480]), array([0.15, 0.15, 0.25, 0.15])]","[array([10., 14.,  0.,  0.]), array([630., 420., 230., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
10.90,"[array([ 14,   7,   0, -12]), array([610, 780, 630, 290]), array([0.25, 0.15, 0.15, 0.15])]","[array([ 9.,  6., 10.,  0.]), array([220., 310., 280., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
38.64,"[array([-15,   2,  -1, -17]), array([410, 370, 800, 390]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([570., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
21.93,"[array([-18,   8,   9,  12]), array([690, 740, 510, 690]), array([0.15, 0.25, 0.25, 0.15])]","[array([0., 0., 0., 8.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
18.22,"[array([ 0, 14, -1, 14]), array([770, 370, 310, 730]), array([0.25, 0.25, 0.15, 0.25])]","[array([ 0.,  0.,  0., 10.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]"
12.57,"[array([-14, -11,   9,   2]), array([770, 480, 360, 340]), array([0.25, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([340., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
40.92,"[array([ -5,   2, -13,  -1]), array([730, 420, 630, 420]), array([0.25, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([590., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
8.59,"[array([13,  4, -6, -5]), array([770, 440, 680, 370]), array([0.25, 0.25, 0.25, 0.25])]","[array([12.,  0.,  6.,  0.]), array([330., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
